DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/29/2016,9:25,,,40.673695,-73.9672,"(40.673695, -73.9672)",LINCOLN PLACE                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3529860,PASSENGER VEHICLE,,,,
09/29/2016,9:25,,,40.584137,-73.96386,"(40.584137, -73.96386)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,Unspecified,,,3530069,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
09/29/2016,9:20,BROOKLYN,11238,40.68904,-73.95868,"(40.68904, -73.95868)",,,415       LAFAYETTE AVENUE              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3529361,PASSENGER VEHICLE,,,,
09/29/2016,9:20,BROOKLYN,11217,40.676476,-73.9786,"(40.676476, -73.9786)",,,52        BERKELEY PLACE                ,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3530016,PICK-UP TRUCK,PASSENGER VEHICLE,,,
09/29/2016,9:16,BROOKLYN,11213,40.663605,-73.934395,"(40.663605, -73.934395)",EMPIRE BOULEVARD                ,SCHENECTADY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3530375,PASSENGER VEHICLE,TAXI,,,
09/29/2016,9:15,,,40.88197,-73.907265,"(40.88197, -73.907265)",TIBBETT AVENUE                  ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3531164,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/29/2016,9:15,,,,,,FEATHERBED LANE                 ,MACOMBS ROAD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3529886,PASSENGER VEHICLE,,,,
09/29/2016,9:15,,,40.85162,-73.82653,"(40.85162, -73.82653)",BRUCKNER BOULEVARD              ,WILKINSON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3533858,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/29/2016,9:15,MANHATTAN,10018,,,,WEST 40 STREET                  ,12 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3531563,TAXI,BICYCLE,,,
09/29/2016,9:11,QUEENS,11429,40.715015,-73.741646,"(40.715015, -73.741646)",HEMPSTEAD AVENUE                ,217 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3529310,BOX,Bus,,,
09/29/2016,9:10,,,40.715813,-73.91212,"(40.715813, -73.91212)",FLUSHING AVENUE                 ,55 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3529997,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
09/29/2016,9:09,,,40.695347,-73.92868,"(40.695347, -73.92868)",BUSHWICK AVENUE                 ,,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3529882,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/29/2016,9:00,QUEENS,11691,40.599728,-73.76388,"(40.599728, -73.76388)",BEACH CHANNEL DRIVE             ,HARTMAN LANE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,3529559,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
09/29/2016,9:00,,,40.773033,-73.98221,"(40.773033, -73.98221)",WEST 65 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3529797,TAXI,SPORT UTILITY / STATION WAGON,,,
09/29/2016,9:00,,,40.71418,-73.95336,"(40.71418, -73.95336)",MEEKER AVENUE                   ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3529714,PASSENGER VEHICLE,,,,
